"barcode";"brand";"caption";"product_name";"description";"size";"unit";"category";"supplier";"cost";"price_standard";"price_discounted";"price_dealer";"price_customer";"price_notax";"price_special";"stock_in";"stock_out";"stock_alert";"item_code";"item_name";"image";"warehouse";"remarks";"create_time";"created_by";"update_time";"updated_by"
"0";"BRAND";"CAPTION";"GLOMED SYNTHETIC BLUE Nitrile Gloves - XS";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SYNTHETIC BLUE Nitrile Gloves - XS";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SYNTHETIC BLUE Nitrile Gloves - SMALL";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SYNTHETIC BLUE Nitrile Gloves - SMALL";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SYNTHETIC BLUE Nitrile Gloves - MEDIUM";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SYNTHETIC BLUE Nitrile Gloves - MEDIUM";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SYNTHETIC BLUE Nitrile Gloves - LARGE";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SYNTHETIC BLUE Nitrile Gloves - LARGE";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SYNTHETIC BLUE Nitrile Gloves - XL";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SYNTHETIC BLUE Nitrile Gloves - XL";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SLIM BLUE Nitrile Gloves - XS";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SLIM BLUE Nitrile Gloves - XS";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SLIM BLUE Nitrile Gloves - SMALL";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SLIM BLUE Nitrile Gloves - SMALL";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SLIM BLUE Nitrile Gloves - MEDIUM";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SLIM BLUE Nitrile Gloves - MEDIUM";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SLIM BLUE Nitrile Gloves - LARGE";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SLIM BLUE Nitrile Gloves - LARGE";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
"0";"BRAND";"CAPTION";"GLOMED SLIM BLUE Nitrile Gloves - XL";"-";"SIZE";"UNIT";"CATEGORY";"SUPPLIER";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;"";"GLOMED SLIM BLUE Nitrile Gloves - XL";"";"WAREHOUSE";"";"2023-02-07 20:44:00";"Deenaerys";"2023-02-07 20:44:00";"Deenaerys"
